# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon May 23 11:19:13 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,sy_dist
1200,HATS-54 b,HATS-54,1,1,1,Transit,2019,2.54418280,0.037630,11.960,1.067,241.55080,0.76000,Mass,0.126000,1625,0,5702.00,1.32,1.10,748.5850000
1201,HATS-55 b,HATS-55,1,1,1,Transit,2019,4.20420010,0.054120,14.022,1.251,292.72143,0.92100,Mass,0.092000,1367,0,6214.00,1.13,1.20,609.8380000
1203,HATS-56 b,HATS-56,1,1,1,Transit,2019,4.32479900,0.060430,18.921,1.688,191.33366,0.60200,Mass,0.019000,1902,0,6536.00,2.20,1.57,564.4090000
1204,HATS-57 b,HATS-57,1,1,1,Transit,2019,2.35062100,0.034930,12.767,1.139,1000.21101,3.14700,Mass,0.028000,1413,0,5587.00,0.96,1.03,279.4850000
1206,HATS-58 A b,HATS-58 A,1,2,1,Transit,2019,4.21808960,0.057980,12.274,1.095,327.36490,1.03000,Mass,0.168000,1721,0,7175.00,1.43,1.46,403.5910000
1207,HATS-59 b,HATS-59,1,1,2,Transit,2018,5.41608100,0.061120,12.621,1.126,256.17098,0.80600,Mass,0.129000,1128,0,5670.00,1.04,1.04,642.8840000
1208,HATS-59 c,HATS-59,1,1,2,Radial Velocity,2018,1422.00000000,2.504000,,,4036.44100,12.70000,Msini,0.083000,176,0,5670.00,1.04,1.04,642.8840000
1209,HATS-6 b,HATS-6,1,1,1,Transit,2015,3.32527250,0.036230,11.187,0.998,101.38777,0.31900,Mass,0.000000,713,0,3724.00,0.57,0.57,169.3180000
1212,HATS-60 b,HATS-60,1,1,1,Transit,2018,3.56082900,0.047080,12.924,1.153,210.40346,0.66200,Mass,0.191000,1528,0,5688.00,1.46,1.10,486.4740000
1214,HATS-61 b,HATS-61,1,1,1,Transit,2018,7.81795300,0.079080,13.395,1.195,1080.62200,3.40000,Mass,0.092000,1226,0,5542.00,1.66,1.08,679.7610000
1215,HATS-62 b,HATS-62,1,1,1,Transit,2018,3.27688370,0.041630,11.825,1.055,56.89157,0.17900,Mass,0.298000,1237,0,5416.00,0.93,0.90,523.0670000
1217,HATS-63 b,HATS-63,1,1,1,Transit,2018,3.05665270,0.040260,13.529,1.207,305.11680,0.96000,Mass,0.136000,1398,0,5627.00,1.07,0.93,623.2320000
1218,HATS-64 b,HATS-64,1,1,1,Transit,2018,4.90889700,0.065620,18.820,1.679,305.11680,0.96000,Mass,0.151000,1793,0,6554.00,2.11,1.56,1080.1500000
1219,HATS-65 b,HATS-65,1,2,1,Transit,2018,3.10516100,0.044970,16.825,1.501,260.93843,0.82100,Mass,0.062000,1634,0,6277.00,1.31,1.26,493.3200000
1221,HATS-66 b,HATS-66,1,1,1,Transit,2018,3.14143910,0.047140,15.816,1.411,1694.03390,5.33000,Mass,0.064000,1998,0,6626.00,1.84,1.41,1477.9800000
1222,HATS-67 b,HATS-67,1,1,1,Transit,2018,1.60917880,0.030320,18.887,1.685,460.85350,1.45000,Mass,0.057000,2193,0,6594.00,1.44,1.44,960.1090000
1224,HATS-68 b,HATS-68,1,1,1,Transit,2018,3.58622020,0.050710,13.809,1.232,410.00070,1.29000,Mass,0.036000,1741,0,6147.00,1.75,1.35,603.9550000
1226,HATS-69 b,HATS-69,1,1,1,Transit,2018,2.22525770,0.032110,10.593,0.945,183.38791,0.57700,Mass,0.519000,1296,0,5137.00,0.88,0.89,414.5370000
1227,HATS-7 b,HATS-7,1,1,1,Transit,2015,3.18531500,0.040120,6.311,0.563,38.13960,0.12000,Mass,0.170000,1084,0,4985.00,0.81,0.85,240.7070000
1230,HATS-70 b,HATS-70,1,1,1,Transit,2019,1.88823780,0.036320,15.513,1.384,4100.00700,12.90000,Mass,0.180000,2730,0,7930.00,1.88,1.78,1458.8300000
1232,HATS-71 b,HATS-71,1,1,1,Transit,2020,3.79552020,0.037450,11.478,1.024,117.59710,0.37000,Mass,0.000000,587,0,3405.00,0.48,0.49,140.2250000
1236,HATS-72 b,HATS-72,1,1,1,Transit,2020,7.32794740,0.066517,8.097,0.722,39.85588,0.12540,Mass,0.013000,739,0,4656.10,0.72,0.73,127.5890000
1238,HATS-74 A b,HATS-74 A,1,2,1,Transit,2021,1.73185606,0.023840,11.568,1.032,464.02947,1.46000,Mass,0.044000,895,0,3776.90,0.58,0.60,299.3890000
1240,HATS-75 b,HATS-75,1,1,1,Transit,2021,2.78865560,0.032742,9.909,0.884,156.05375,0.49100,Mass,0.064000,772,0,3790.40,0.58,0.60,194.9640000
1242,HATS-76 b,HATS-76,1,1,1,Transit,2021,1.94164230,0.026580,12.094,1.079,835.57088,2.62900,Mass,0.062000,940,0,4016.00,0.63,0.66,385.6890000
1244,HATS-77 b,HATS-77,1,1,1,Transit,2021,3.08762620,0.036070,13.058,1.165,436.69623,1.37400,Mass,0.045000,828,0,4071.00,0.64,0.66,436.1760000
1246,HATS-8 b,HATS-8,1,1,1,Transit,2015,3.58389300,0.046670,9.785,0.873,43.86054,0.13800,Mass,0.376000,1324,0,5679.00,1.09,1.06,794.6370000
1252,HATS-9 b,HATS-9,1,1,1,Transit,2015,1.91529100,0.031200,13.850,1.236,,,,,1746,0,5599.00,1.56,1.10,638.7000000
1253,HD 100546 b,HD 100546,1,1,1,Imaging,2014,,53.000000,77.342,6.900,,,,,,0,10500.00,,2.40,109.6770000
1254,HD 100655 b,HD 100655,1,2,1,Radial Velocity,2011,157.57001000,0.680000,,,511.70630,1.61000,Msini,0.090000,,0,4891.00,10.06,2.28,137.1780000
1257,HD 100777 b,HD 100777,1,1,1,Radial Velocity,2007,383.70001000,1.030000,,,327.36490,1.03000,Msini,0.360000,,0,5533.00,1.04,0.83,49.5336000
1259,HD 10180 c,HD 10180,1,1,6,Radial Velocity,2010,5.75969000,0.064120,,,13.22173,0.04160,Msini,0.073000,,0,5911.00,1.11,1.06,38.9607000
1260,HD 10180 d,HD 10180,1,1,6,Radial Velocity,2010,16.35700000,0.128590,,,12.01397,0.03780,Msini,0.131000,,0,5911.00,1.11,1.06,38.9607000
1262,HD 10180 e,HD 10180,1,1,6,Radial Velocity,2010,49.74800000,0.269900,,,25.58532,0.08050,Msini,0.051000,,0,5911.00,1.11,1.06,38.9607000
1265,HD 10180 f,HD 10180,1,1,6,Radial Velocity,2010,122.74400000,0.492900,,,22.94733,0.07220,Msini,0.119000,,0,5911.00,1.11,1.06,38.9607000
1267,HD 10180 g,HD 10180,1,1,6,Radial Velocity,2010,604.67000000,1.427000,,,23.26516,0.07320,Msini,0.263000,,0,5911.00,1.11,1.06,38.9607000
1268,HD 10180 h,HD 10180,1,1,6,Radial Velocity,2010,2205.00000000,3.381000,,,65.66368,0.20660,Msini,0.095000,,0,5911.00,1.11,1.06,38.9607000
1270,HD 101930 b,HD 101930,1,2,1,Radial Velocity,2005,70.46000000,0.300000,,,79.45750,0.25000,Msini,0.110000,,0,5108.00,0.86,0.57,30.0274000
1274,HD 102117 b,HD 102117,1,1,1,Radial Velocity,2005,20.81330000,0.150000,,,54.03110,0.17000,Msini,0.120000,,0,5655.00,1.23,1.06,39.5792000
1278,HD 102195 b,HD 102195,1,1,1,Radial Velocity,2006,4.11377000,0.050000,,,130.31030,0.41000,Msini,0.000000,,0,5301.00,0.82,0.76,29.3386000
1281,HD 102272 b,HD 102272,1,1,1,Radial Velocity,2008,127.58000000,0.510000,,,1570.08020,4.94000,Msini,0.050000,,0,4790.00,10.30,1.45,347.0970000
1285,HD 102329 b,HD 102329,1,1,2,Radial Velocity,2011,778.09998000,1.810000,,,2593.49280,8.16000,Msini,0.210000,,0,4745.00,9.82,3.21,217.1070000
1286,HD 102329 c,HD 102329,1,1,2,Radial Velocity,2018,1123.00000000,,,,483.10160,1.52000,Msini,0.209000,,0,,,1.30,217.1070000
1287,HD 102365 b,HD 102365,1,2,1,Radial Velocity,2010,122.10000000,0.460000,,,16.00000,0.05000,Msini,0.340000,,0,5630.00,,0.85,9.2894000
1288,HD 102843 b,HD 102843,1,1,1,Radial Velocity,2019,3090.94200000,4.074000,,,113.90000,0.35837,Msini,0.110000,,0,5436.00,,0.95,62.7580000
1289,HD 102956 b,HD 102956,1,2,1,Radial Velocity,2010,6.49470000,0.080700,,,305.11680,0.96000,Msini,0.037000,,0,4985.00,4.55,1.66,121.8900000
1292,HD 103197 b,HD 103197,1,1,1,Radial Velocity,2009,47.84000000,0.250000,,,28.60470,0.09000,Msini,0.000000,,0,5250.00,0.88,0.80,57.1463000
1294,HD 103720 b,HD 103720,1,1,1,Radial Velocity,2014,4.55570000,0.049800,,,197.04600,0.62000,Msini,0.086000,,0,5017.00,0.73,0.79,45.5352000
1295,HD 103774 b,HD 103774,1,2,1,Radial Velocity,2013,5.88810000,0.070000,,,116.00000,0.36700,Msini,0.090000,,0,6489.00,,1.33,56.4089000
1296,HD 103891 b,HD 103891,1,1,1,Radial Velocity,2022,1919.00000000,3.270000,,,457.67291,1.44000,Msini,0.310000,,0,6072.00,2.22,1.28,55.5213000
1297,HD 103949 b,HD 103949,1,1,1,Radial Velocity,2019,120.87800000,0.439000,,,11.20000,0.03524,Msini,0.190000,,0,4792.00,,0.77,26.4997000
1299,HD 104067 b,HD 104067,1,1,1,Radial Velocity,2009,55.80600000,0.260000,,,50.85280,0.16000,Msini,0.000000,,0,4937.00,0.74,0.62,20.3632000
1303,HD 10442 b,HD 10442,1,1,1,Radial Velocity,2014,1032.30000000,2.010000,,,472.61321,1.48700,Msini,0.132000,,0,4912.00,1.97,1.01,135.3740000
1305,HD 104985 b,HD 104985,1,1,1,Radial Velocity,2003,199.50500000,0.950000,,,2637.90000,8.30000,Msini,0.090000,,0,4877.00,11.00,2.30,100.5760000
1307,HD 105779 b,HD 105779,1,1,1,Radial Velocity,2022,2412.00000000,3.380000,,,203.41018,0.64000,Msini,0.000000,,0,5792.00,0.94,0.89,55.2411000
1308,HD 106252 b,HD 106252,1,1,1,Radial Velocity,2002,1531.00000000,2.610000,,,2202.56190,6.93000,Msini,0.480000,,0,5874.00,1.10,1.01,38.1850000
1313,HD 106270 b,HD 106270,1,1,1,Radial Velocity,2011,1888.00000000,3.340000,,,3219.61790,10.13000,Msini,0.185000,,0,5509.00,2.66,1.39,93.8080000
1317,HD 106315 b,HD 106315,1,1,2,Transit,2017,9.55237000,0.090700,2.440,0.218,12.60000,0.03964,Mass,0.093000,1153,0,6327.00,1.30,1.09,109.3530000
1324,HD 106315 c,HD 106315,1,1,2,Transit,2017,21.05704000,0.153600,4.350,0.388,15.20000,0.04782,Mass,0.220000,886,0,6327.00,1.30,1.09,109.3530000
1328,HD 10647 b,HD 10647,1,1,1,Radial Velocity,2006,989.20000000,2.015000,,,298.75000,0.94000,Msini,0.150000,,0,6218.00,1.10,1.11,17.3357000
1329,HD 106515 A b,HD 106515 A,1,2,1,Radial Velocity,2012,3630.00000000,4.590000,,,3054.22000,9.61000,Msini,0.572000,,0,5362.00,1.62,0.97,34.0915000
1332,HD 106906 b,HD 106906,1,1,1,Imaging,2013,,650.000000,,,3496.00000,11.00000,Mass,,1800,0,6516.00,,1.50,103.0290000
1336,HD 10697 b,HD 10697,1,1,1,Radial Velocity,1999,1075.69000000,2.140000,,,2028.70889,6.38300,Msini,0.104300,,0,5600.00,1.79,1.13,33.1205000
1337,HD 107148 b,HD 107148,1,2,2,Radial Velocity,2005,48.05600000,0.269000,,,66.74100,0.21000,Msini,0.050000,,0,5797.00,,1.12,49.4156000
1339,HD 107148 c,HD 107148,1,2,2,Radial Velocity,2021,18.32670000,0.140700,,,19.89606,0.06260,Msini,0.340000,,0,5752.92,1.17,1.11,49.4156000
1341,HD 108147 b,HD 108147,1,1,1,Radial Velocity,2002,10.89850000,0.102000,,,82.95000,0.26100,Msini,0.530000,,0,6255.73,1.21,1.22,38.9200000
1343,HD 108236 b,HD 108236,1,1,5,Transit,2020,3.79596300,0.045270,1.615,0.144,,,,0.045000,,0,5660.00,0.88,0.87,64.5978000
1347,HD 108236 c,HD 108236,1,1,5,Transit,2020,6.20344900,0.062000,2.071,0.185,,,,0.034000,,0,5660.00,0.88,0.87,64.5978000
1349,HD 108236 d,HD 108236,1,1,5,Transit,2020,14.17568500,0.107400,2.539,0.227,,,,0.055000,,0,5660.00,0.88,0.87,64.5978000
1353,HD 108236 e,HD 108236,1,1,5,Transit,2020,19.59002500,0.136700,3.083,0.275,,,,0.058000,,0,5660.00,0.88,0.87,64.5978000
1354,HD 108236 f,HD 108236,1,1,5,Transit,2021,29.54115000,0.175800,2.017,0.180,,,,0.051000,,0,5660.00,0.88,0.87,64.5978000
1355,HD 108341 b,HD 108341,1,2,1,Radial Velocity,2014,1129.00000000,2.000000,,,1112.40000,3.50000,Msini,0.850000,,0,5122.00,0.79,0.84,48.9102000
1356,HD 108863 b,HD 108863,1,1,1,Radial Velocity,2011,437.70000000,1.320000,,,767.24162,2.41400,Msini,0.032000,,0,4878.00,5.74,1.59,164.7420000
1363,HD 108874 b,HD 108874,1,1,2,Radial Velocity,2002,394.48123000,1.040000,,,451.31860,1.42000,Msini,0.130000,,0,5600.00,1.05,1.10,59.5175000
1367,HD 108874 c,HD 108874,1,1,2,Radial Velocity,2005,1624.00000000,2.659000,,,314.64000,0.99000,Msini,0.239000,,0,5551.00,,0.95,59.5175000
1371,HD 109246 b,HD 109246,1,1,1,Radial Velocity,2010,68.27000000,0.330000,,,273.33380,0.86000,Msini,0.120000,,0,5844.00,1.07,1.20,67.8349000
1373,HD 109271 b,HD 109271,1,1,2,Radial Velocity,2013,7.85430000,0.079000,,,17.16200,0.05400,Msini,0.250000,,0,5783.00,,1.05,55.8716000
1374,HD 109271 c,HD 109271,1,1,2,Radial Velocity,2013,30.93000000,0.196000,,,24.15400,0.07600,Msini,0.150000,,0,5783.00,,1.05,55.8716000
1375,HD 109286 b,HD 109286,1,1,1,Radial Velocity,2021,520.10000000,1.259000,,,950.30694,2.99000,Msini,0.338000,259,0,5694.00,1.09,0.98,55.4156000
1378,HD 109749 b,HD 109749,1,2,1,Radial Velocity,2005,5.23989100,0.061500,,,85.81410,0.27000,Msini,0.000000,,0,5824.00,1.22,1.13,63.0821000
1379,HD 10975 b,HD 10975,1,1,1,Radial Velocity,2021,283.80000000,0.950000,,,143.02278,0.45000,Msini,0.442000,,0,4840.00,11.16,1.41,116.5060000
1382,HD 110014 b,HD 110014,1,1,1,Radial Velocity,2009,835.47700000,2.140000,,,3524.59000,11.09000,Msini,0.462000,,0,4445.00,20.90,2.17,100.7580000
1384,HD 110082 b,HD 110082,1,2,1,Transit,2021,10.18271000,0.113000,3.200,0.285,,,,0.200000,,0,6200.00,1.19,1.21,105.0960000
1385,HD 110113 b,HD 110113,1,1,2,Transit,2021,2.54100000,0.035000,2.050,0.183,4.55000,0.01432,Mass,0.093000,1371,0,5732.00,0.97,1.00,106.3070000
1387,HD 110113 c,HD 110113,1,1,2,Radial Velocity,2021,6.74400000,0.068000,,,10.50000,0.03304,Msini,0.045000,990,0,5732.00,0.97,1.00,106.3070000
1388,HD 111232 b,HD 111232,1,1,1,Radial Velocity,2003,1143.00000000,1.970000,,,2269.30620,7.14000,Msini,0.200000,,0,5512.00,0.90,0.84,28.9571000
1391,HD 111591 b,HD 111591,1,1,1,Radial Velocity,2017,1056.40000000,2.500000,,,1398.45200,4.40000,Msini,0.260000,,0,4884.00,8.03,1.94,114.1660000
1392,HD 111998 b,HD 111998,1,1,1,Radial Velocity,2016,825.90000000,1.820000,,,1433.41330,4.51000,Msini,0.030000,,0,6557.00,1.45,1.18,33.2237000
1393,HD 112640 b,HD 112640,1,1,1,Radial Velocity,2020,613.20000000,1.700000,,,1589.15000,5.00000,Msini,0.240000,,0,4155.00,39.00,1.80,323.3350000
1394,HD 113337 b,HD 113337,1,1,1,Radial Velocity,2013,324.00000000,0.920000,,,899.42000,2.83000,Msini,0.460000,,0,6576.60,1.50,1.40,36.1800000
1396,HD 113538 b,HD 113538,1,1,2,Radial Velocity,2010,663.20000000,1.240000,,,114.41000,0.36000,Msini,0.140000,,0,4462.00,0.53,0.58,16.2817000
1398,HD 113538 c,HD 113538,1,1,2,Radial Velocity,2010,1818.00000000,2.440000,,,295.57000,0.93000,Msini,0.200000,,0,4462.00,0.53,0.58,16.2817000
1400,HD 113996 b,HD 113996,1,2,1,Radial Velocity,2017,610.20000000,1.600000,,,2002.32900,6.30000,Msini,0.280000,,0,4181.00,25.11,1.49,116.3340000
1402,HD 114386 b,HD 114386,1,1,1,Radial Velocity,2003,937.70001000,1.730000,,,362.32620,1.14000,Msini,0.230000,,0,4836.00,0.76,0.60,27.9243000
1404,HD 114613 b,HD 114613,1,1,1,Radial Velocity,2014,4000.00000000,5.340000,,,113.46531,0.35700,Msini,0.458000,,0,5641.00,2.14,1.27,20.2836000
1407,HD 114729 b,HD 114729,1,2,1,Radial Velocity,2002,1121.79000000,2.067000,,,262.20975,0.82500,Msini,0.079000,,0,5844.00,1.47,0.94,37.8063000
1412,HD 114762 b,HD 114762,1,2,1,Radial Velocity,1989,83.91510000,0.360000,,,3397.60270,10.69000,Msini,0.340000,,0,5869.00,1.20,0.80,40.1949000
1414,HD 114783 b,HD 114783,1,1,2,Radial Velocity,2001,493.70000000,1.160000,,,349.60000,1.10000,Msini,0.144000,,0,5135.00,,0.85,21.0628000
1418,HD 114783 c,HD 114783,1,1,2,Radial Velocity,2018,4319.00000000,,,,194.19413,0.61100,Msini,0.000000,,0,,,0.85,21.0628000
1423,HD 11506 b,HD 11506,1,1,2,Radial Velocity,2007,1622.10000000,2.900000,,,1535.11890,4.83000,Msini,0.374300,,0,6030.00,1.34,1.24,51.2610000
1426,HD 11506 c,HD 11506,1,1,2,Radial Velocity,2008,223.41000000,0.774000,,,129.67464,0.40800,Msini,0.193000,,0,6030.00,1.34,1.24,51.2610000
1427,HD 115954 b,HD 115954,1,1,1,Radial Velocity,2021,3700.00000000,5.000000,,,2634.79749,8.29000,Msini,0.487000,145,0,5957.00,1.21,1.18,87.6437000
1429,HD 116029 b,HD 116029,1,2,2,Radial Velocity,2011,670.00000000,1.650000,,,444.96200,1.40000,Msini,0.000000,,0,4819.00,4.89,0.83,123.2450000
1430,HD 116029 c,HD 116029,1,2,2,Radial Velocity,2018,907.00000000,,,,403.64410,1.27000,Msini,0.038000,,0,,,1.33,123.2450000
1432,HD 117207 b,HD 117207,1,1,1,Radial Velocity,2004,2621.75000000,3.787000,,,612.14058,1.92600,Msini,0.157000,,0,5732.00,1.07,1.05,32.3547000
1438,HD 11755 b,HD 11755,1,1,1,Radial Velocity,2015,433.70001000,1.090000,,,1789.38290,5.63000,Msini,0.190000,,0,4312.00,20.58,0.72,235.0450000
1442,HD 117618 b,HD 117618,1,1,1,Radial Velocity,2004,25.80000000,0.180000,,,55.30242,0.17400,Msini,0.150000,,0,5990.00,,1.08,37.7781000
1444,HD 118203 b,HD 118203,1,1,1,Radial Velocity,2005,6.13350000,0.070000,,,886.74570,2.79000,Msini,0.310000,,0,5864.00,2.06,1.84,92.2589000
1447,HD 11964 b,HD 11964,1,2,2,Radial Velocity,2005,1945.00000000,3.160000,,,198.00000,0.62200,Msini,0.041000,,0,5303.00,2.01,0.91,33.5369000
1450,HD 11964 c,HD 11964,1,2,2,Radial Velocity,2008,37.91000000,0.229000,,,25.00000,0.07880,Msini,0.300000,,0,5303.00,2.01,0.91,33.5369000
1453,HD 11977 b,HD 11977,1,1,1,Radial Velocity,2005,711.00000000,1.930000,,,2080.00000,6.54000,Msini,0.400000,,0,4970.00,10.09,1.91,67.9331000
1454,HD 120084 b,HD 120084,1,1,1,Radial Velocity,2013,2082.00000000,4.300000,,,1430.20000,4.50000,Msini,0.660000,,0,4892.00,9.12,2.39,103.0440000
1456,HD 121504 b,HD 121504,1,1,1,Radial Velocity,2003,63.33000000,0.330000,,,479.92330,1.51000,Msini,0.030000,,0,6027.00,1.07,1.62,41.6592000
1457,HD 124330 b,HD 124330,1,1,1,Radial Velocity,2021,270.66000000,0.860000,,,238.37131,0.75000,Msini,0.340000,,0,5873.00,,1.15,60.1977000
1458,HD 12484 b,HD 12484,1,1,1,Radial Velocity,2016,58.83000000,0.297000,,,947.13340,2.98000,Msini,0.070000,,0,5920.00,,1.01,48.3367000
1459,HD 125390 b,HD 125390,1,1,1,Radial Velocity,2019,1756.20000000,3.160000,,,7043.11280,22.16000,Msini,0.591000,,0,4850.00,6.47,1.36,153.6470000
1461,HD 125595 b,HD 125595,1,1,1,Radial Velocity,2009,9.67370000,0.080000,,,6.35660,0.02000,Msini,0.000000,,0,4691.00,0.74,0.29,28.1989000
1462,HD 125612 b,HD 125612,1,2,3,Radial Velocity,2007,557.04000000,1.372000,,,985.27300,3.10000,Msini,0.455300,,0,5841.00,1.05,1.11,57.6207000
1467,HD 125612 c,HD 125612,1,2,3,Radial Velocity,2009,4.15514000,0.052400,,,17.48065,0.05500,Msini,0.049000,,0,5841.00,1.05,1.11,57.6207000
1469,HD 125612 d,HD 125612,1,2,3,Radial Velocity,2009,2835.00000000,4.060000,,,2313.80240,7.28000,Msini,0.117200,,0,5841.00,1.05,1.11,57.6207000
1471,HD 12648 b,HD 12648,1,1,1,Radial Velocity,2015,133.60001000,0.540000,,,622.94680,1.96000,Msini,0.040000,,0,4835.00,11.02,0.67,182.1920000
1472,HD 126525 b,HD 126525,1,1,1,Radial Velocity,2018,960.41000000,1.837000,,,75.32571,0.23700,Msini,0.035000,,0,5638.00,0.98,0.90,37.6506000
1475,HD 12661 b,HD 12661,1,1,2,Radial Velocity,2000,262.70862000,0.840000,,,772.32690,2.43000,Msini,0.380000,,0,5645.00,1.20,1.20,37.8478000
1480,HD 12661 c,HD 12661,1,1,2,Radial Velocity,2002,1708.00000000,2.814500,,,575.88400,1.81200,Msini,0.031000,,0,5748.00,1.11,1.02,37.8478000
1485,HD 126614 b,HD 126614,1,3,1,Radial Velocity,2009,1244.00000000,2.370000,,,130.31030,0.41000,Msini,0.410000,,0,5568.00,1.32,1.26,73.0961000
1490,HD 128311 b,HD 128311,1,1,2,Radial Velocity,2002,453.01900000,1.084000,,,562.24127,1.76900,Msini,0.303000,,0,,0.76,0.83,16.3292000
1494,HD 128311 c,HD 128311,1,1,2,Radial Velocity,2005,921.53800000,1.740000,,,1204.25787,3.78900,Mass,0.159000,,0,,0.76,0.83,16.3292000
1497,HD 128356 b,HD 128356,1,1,1,Radial Velocity,2016,298.20000000,0.870000,,,282.86870,0.89000,Msini,0.570000,,0,4875.00,0.85,0.65,26.1548000
1498,HD 129445 b,HD 129445,1,1,1,Radial Velocity,2009,1840.00000000,2.900000,,,508.50700,1.60000,Msini,0.700000,,0,,,0.99,67.4386000
1500,HD 130322 b,HD 130322,1,1,1,Radial Velocity,1999,10.70871000,0.092500,,,365.49000,1.15000,Msini,0.029000,,0,5387.00,0.85,0.92,31.8766000
1504,HD 131496 b,HD 131496,1,1,1,Radial Velocity,2011,896.00000000,2.010000,,,572.09400,1.80000,Msini,0.181000,,0,4846.00,4.44,1.34,131.8490000
1508,HD 131664 b,HD 131664,1,1,1,Radial Velocity,2008,1951.00000000,3.170000,,,6076.90960,19.12000,Msini,0.640000,,0,5892.00,1.08,1.19,52.8128000
1509,HD 13167 b,HD 13167,1,1,1,Radial Velocity,2018,2613.00000000,4.100000,,,1052.01730,3.31000,Msini,0.563000,,0,5671.00,2.39,1.35,148.9340000
1510,HD 13189 b,HD 13189,1,1,1,Radial Velocity,2005,471.60001000,1.250000,,,3480.23850,10.95000,Msini,0.270000,,0,4175.00,38.41,2.24,497.8230000
1512,HD 132406 b,HD 132406,1,1,1,Radial Velocity,2007,974.00000000,1.980000,,,1709.92540,5.38000,Msini,0.340000,,0,5783.00,1.34,1.03,70.7832000
1514,HD 132563 b,HD 132563,1,3,1,Radial Velocity,2011,1544.00000000,2.620000,,,473.54700,1.49000,Msini,0.220000,,0,6289.00,1.30,1.23,105.1550000
1515,HD 133131 A b,HD 133131 A,1,2,3,Radial Velocity,2016,649.00000000,1.440000,,,451.31860,1.42000,Msini,0.330000,,0,5799.00,,0.95,51.4736000
1516,HD 133131 A c,HD 133131 A,1,2,3,Radial Velocity,2016,3568.00000000,4.490000,,,133.48860,0.42000,Msini,0.490000,,0,5799.00,,0.95,51.4736000
1517,HD 133131 B b,HD 133131 B,1,2,3,Radial Velocity,2016,5769.00000000,6.150000,,,794.57500,2.50000,Msini,0.610000,,0,5805.00,,0.93,51.2993000
1518,HD 134060 b,HD 134060,1,1,2,Radial Velocity,2019,3.26960000,0.044400,,,10.10000,0.03180,Msini,0.450000,,0,5966.00,,1.09,24.0125000
1519,HD 134060 c,HD 134060,1,1,2,Radial Velocity,2019,1291.56460000,2.392800,,,29.29000,0.09220,Msini,0.110000,,0,5966.00,,1.09,24.0125000
1524,HD 134987 b,HD 134987,1,1,2,Radial Velocity,1999,258.17999000,0.810000,,,511.70630,1.61000,Msini,0.230000,,0,5736.00,1.22,1.10,26.1804000
1526,HD 134987 c,HD 134987,1,1,2,Radial Velocity,2009,5000.00000000,5.800000,,,260.00000,0.82000,Msini,0.120000,,0,5585.00,1.25,1.10,26.1804000
1527,HD 136352 b,HD 136352,1,1,3,Radial Velocity,2019,11.57797000,0.096400,1.664,0.148,4.72000,0.01485,Mass,0.000000,905,0,5664.00,1.06,0.87,14.6820000
1532,HD 136352 c,HD 136352,1,1,3,Radial Velocity,2019,27.59221000,0.172100,2.916,0.260,11.24000,0.03536,Mass,0.000000,677,0,5664.00,1.06,0.87,14.6820000
1535,HD 136352 d,HD 136352,1,1,3,Radial Velocity,2019,107.24500000,0.425000,2.562,0.229,8.82000,0.02775,Mass,0.000000,431,0,5664.00,1.06,0.87,14.6820000
1537,HD 136418 b,HD 136418,1,1,1,Radial Velocity,2009,464.29999000,1.290000,,,680.15620,2.14000,Msini,0.250000,,0,4989.00,3.78,1.48,105.1680000
1538,HD 136925 b,HD 136925,1,1,1,Radial Velocity,2021,4540.00000000,5.130000,,,266.97586,0.84000,Msini,0.103000,,0,5773.19,1.19,0.88,47.8740000
1540,HD 137388 b,HD 137388,1,1,1,Radial Velocity,2011,330.00000000,0.890000,,,63.56600,0.20000,Msini,0.360000,,0,5181.00,0.88,0.68,40.4841000
